metric,pooled_query_draw_unchanged,macro_equal_dataset_query_draw_unchanged,unchanged_query_draws,total_query_draws
ndcg_at_10,0.921433615819209,0.8917321426657724,10438,11328
recall_at_20,0.990377824858757,0.9815298294470385,11219,11328
