dataset,query_id,draw_id,method,ndcg_at_10,recall_at_20
scifact,1024,0,query_expansion_reencode,0.43067655807339306,1.0
scifact,1024,0,anchorqe_fixed_015,0.3562071871080222,1.0
scifact,1024,0,desa_de,0.43067655807339306,1.0
scifact,1024,1,original,0.3333333333333333,1.0
scifact,1024,1,expansion_only,0.5,1.0
scifact,1024,1,query_expansion_reencode,0.43067655807339306,1.0
scifact,1024,1,anchorqe_fixed_015,0.3562071871080222,1.0
scifact,1024,1,desa_de,0.43067655807339306,1.0
scifact,1024,2,original,0.3333333333333333,1.0
scifact,1024,2,expansion_only,0.43067655807339306,1.0
scifact,1024,2,query_expansion_reencode,0.43067655807339306,1.0
scifact,1024,2,anchorqe_fixed_015,0.3562071871080222,1.0
scifact,1024,2,desa_de,0.43067655807339306,1.0
scifact,1029,0,original,0.9674679834891693,1.0
scifact,1029,0,expansion_only,0.8854598815714874,1.0
scifact,1029,0,query_expansion_reencode,0.9060254355346823,1.0
scifact,1029,0,anchorqe_fixed_015,0.9674679834891693,1.0
scifact,1029,0,desa_de,0.9674679834891693,1.0
scifact,1029,1,original,0.9674679834891693,1.0
scifact,1029,1,expansion_only,0.9674679834891693,1.0
scifact,1029,1,query_expansion_reencode,0.9060254355346823,1.0
scifact,1029,1,anchorqe_fixed_015,0.9674679834891693,1.0
scifact,1029,1,desa_de,0.9674679834891693,1.0
scifact,1029,2,original,0.9674679834891693,1.0
scifact,1029,2,expansion_only,1.0,1.0
scifact,1029,2,query_expansion_reencode,1.0,1.0
scifact,1029,2,anchorqe_fixed_015,0.9674679834891693,1.0
scifact,1029,2,desa_de,0.9674679834891693,1.0
scifact,1041,0,original,0.42177340954886444,1.0
scifact,1041,0,expansion_only,0.430624116386567,1.0
scifact,1041,0,query_expansion_reencode,0.37800210039683896,1.0
scifact,1041,0,anchorqe_fixed_015,0.42177340954886444,1.0
scifact,1041,0,desa_de,0.40298313359773236,1.0
scifact,1041,1,original,0.42177340954886444,1.0
scifact,1041,1,expansion_only,0.4227898344066503,1.0
scifact,1041,1,query_expansion_reencode,0.39780880120575696,1.0
scifact,1041,1,anchorqe_fixed_015,0.42177340954886444,1.0
scifact,1041,1,desa_de,0.42177340954886444,1.0
scifact,1041,2,original,0.42177340954886444,1.0
scifact,1041,2,expansion_only,0.40298313359773236,1.0
scifact,1041,2,query_expansion_reencode,0.3889580943680543,1.0
scifact,1041,2,anchorqe_fixed_015,0.40298313359773236,1.0
scifact,1041,2,desa_de,0.40298313359773236,1.0
scifact,1049,0,original,0.3562071871080222,1.0
scifact,1049,0,expansion_only,0.5,1.0
scifact,1049,0,query_expansion_reencode,0.43067655807339306,1.0
scifact,1049,0,anchorqe_fixed_015,0.38685280723454163,1.0
scifact,1049,0,desa_de,0.43067655807339306,1.0
scifact,1049,1,original,0.3562071871080222,1.0
scifact,1049,1,expansion_only,0.5,1.0
scifact,1049,1,query_expansion_reencode,0.43067655807339306,1.0
scifact,1049,1,anchorqe_fixed_015,0.38685280723454163,1.0
scifact,1049,1,desa_de,0.43067655807339306,1.0
scifact,1049,2,original,0.3562071871080222,1.0
scifact,1049,2,expansion_only,0.5,1.0
scifact,1049,2,query_expansion_reencode,0.38685280723454163,1.0
scifact,1049,2,anchorqe_fixed_015,0.38685280723454163,1.0
scifact,1049,2,desa_de,0.43067655807339306,1.0
scifact,1062,0,original,1.0,1.0
scifact,1062,0,expansion_only,1.0,1.0
scifact,1062,0,query_expansion_reencode,1.0,1.0
scifact,1062,0,anchorqe_fixed_015,1.0,1.0
scifact,1062,0,desa_de,1.0,1.0
scifact,1062,1,original,1.0,1.0
scifact,1062,1,expansion_only,1.0,1.0
scifact,1062,1,query_expansion_reencode,1.0,1.0
scifact,1062,1,anchorqe_fixed_015,1.0,1.0
scifact,1062,1,desa_de,1.0,1.0
scifact,1062,2,original,1.0,1.0
scifact,1062,2,expansion_only,1.0,1.0
scifact,1062,2,query_expansion_reencode,1.0,1.0
scifact,1062,2,anchorqe_fixed_015,1.0,1.0
scifact,1062,2,desa_de,1.0,1.0
scifact,1086,0,original,1.0,1.0
scifact,1086,0,expansion_only,1.0,1.0
scifact,1086,0,query_expansion_reencode,1.0,1.0
scifact,1086,0,anchorqe_fixed_015,1.0,1.0
scifact,1086,0,desa_de,1.0,1.0
scifact,1086,1,original,1.0,1.0
